"accident_index","accident_year","accident_reference","location_easting_osgr","location_northing_osgr","longitude","latitude","police_force","accident_severity","number_of_vehicles","number_of_casualties","date","day_of_week","time","local_authority_district","local_authority_ons_district","local_authority_highway","first_road_class","first_road_number","road_type","speed_limit","junction_detail","junction_control","second_road_class","second_road_number","pedestrian_crossing_human_control","pedestrian_crossing_physical_facilities","light_conditions","weather_conditions","road_surface_conditions","special_conditions_at_site","carriageway_hazards","urban_or_rural_area","did_police_officer_attend_scene_of_accident","trunk_road_flag","lsoa_of_accident_location","datetime"
"2022991221654",2022,"991221654",252993,667637,-4.351532,55.879388,"Police Scotland","Slight",1,1,2022-09-21,"Wednesday",18:00:00,NA,"S12000049","S12000049","A",NA,"Single carriageway",30,"Crossroads","Auto traffic signal","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","Pedestrian phase at traffic signal junction","Daylight","Fine no high winds","Dry","None","None","Urban","Yes","Data missing or out of range","-1",2022-09-21 18:00:00
"2022991221656",2022,"991221656",388686,802610,-2.188447,57.114298,"Police Scotland","Slight",2,1,2022-09-21,"Wednesday",17:10:00,NA,"S12000033","S12000033","A",NA,"Single carriageway",30,"T or staggered junction","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","None","Urban","No","Data missing or out of range","-1",2022-09-21 17:10:00
"2022991221669",2022,"991221669",336008,858732,-3.07276,57.614014,"Police Scotland","Serious",1,1,2022-09-21,"Wednesday",15:05:00,NA,"S12000020","S12000020","A",NA,"Single carriageway",60,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","None","Rural","Yes","Data missing or out of range","-1",2022-09-21 15:05:00
"2022991221717",2022,"991221717",270437,797030,-4.137208,57.046078,"Police Scotland","Serious",2,3,2022-07-25,"Monday",11:03:00,NA,"S12000017","S12000017","A",NA,"Single carriageway",60,"T or staggered junction","Stop sign","A",NA,"None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","None","Rural","Yes","Data missing or out of range","-1",2022-07-25 11:03:00
"2022991222074",2022,"991222074",340635,862922,-2.996357,57.652277,"Police Scotland","Slight",2,1,2022-09-22,"Thursday",17:13:00,NA,"S12000020","S12000020","A",NA,"Single carriageway",60,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","None","Rural","Yes","Data missing or out of range","-1",2022-09-22 17:13:00
"2022991222112",2022,"991222112",342225,731077,-2.939319,56.468267,"Police Scotland","Slight",2,1,2022-09-22,"Thursday",10:00:00,NA,"S12000042","S12000042","A",NA,"Single carriageway",40,"T or staggered junction","Give way or uncontrolled","A",NA,"None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Wet or damp","None","None","Urban","Yes","Data missing or out of range","-1",2022-09-22 10:00:00
"2022991222114",2022,"991222114",243735,673794,-4.50293,55.93174,"Police Scotland","Slight",2,1,2022-09-22,"Thursday",08:40:00,NA,"S12000039","S12000039","A",NA,"Dual carriageway",70,"Roundabout","Give way or uncontrolled","A",NA,"None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Wet or damp","None","None","Rural","Yes","Data missing or out of range","-1",2022-09-22 08:40:00
"2022991222430",2022,"991222430",263998,658214,-4.17104,55.798017,"Police Scotland","Serious",2,2,2022-09-23,"Friday",09:25:00,NA,"S12000029","S12000029","A",NA,"Dual carriageway",70,"T or staggered junction","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","None","Rural","Yes","Data missing or out of range","-1",2022-09-23 09:25:00
"2022991222461",2022,"991222461",306758,671466,-3.493824,55.927195,"Police Scotland","Slight",1,2,2022-09-23,"Friday",18:10:00,NA,"S12000040","S12000040","A",NA,"Single carriageway",50,"Roundabout","Give way or uncontrolled","A",NA,"None within 50 metres","Central refuge","Daylight","Fine no high winds","Wet or damp","None","None","Urban","Yes","Data missing or out of range","-1",2022-09-23 18:10:00
"2022991222499",2022,"991222499",264194,654712,-4.166169,55.76663,"Police Scotland","Fatal",2,1,2022-09-23,"Friday",20:30:00,NA,"S12000029","S12000029","A",NA,"Dual carriageway",50,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","Footbridge or subway","Darkness - lights lit","Fine no high winds","Dry","None","None","Urban","Yes","Data missing or out of range","-1",2022-09-23 20:30:00
"2022991222532",2022,"991222532",246008,819457,-4.553286,57.239828,"Police Scotland","Slight",3,2,2022-09-23,"Friday",07:45:00,NA,"S12000017","S12000017","A",NA,"Single carriageway",60,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","None","Rural","Yes","Data missing or out of range","-1",2022-09-23 07:45:00
"2022991222604",2022,"991222604",341582,733888,-2.950385,56.493438,"Police Scotland","Slight",4,1,2022-09-24,"Saturday",07:34:00,NA,"S12000042","S12000042","A",NA,"Dual carriageway",40,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","None","Urban","Yes","Data missing or out of range","-1",2022-09-24 07:34:00
"2022991222613",2022,"991222613",321844,671610,-3.2525,55.931179,"Police Scotland","Slight",2,1,2022-09-24,"Saturday",11:45:00,NA,"S12000036","S12000036","A",NA,"Dual carriageway",20,"T or staggered junction","Auto traffic signal","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","Pedestrian phase at traffic signal junction","Daylight","Fine no high winds","Dry","None","None","Urban","Yes","Data missing or out of range","-1",2022-09-24 11:45:00
"2022991222632",2022,"991222632",272782,655652,-4.029824,55.777406,"Police Scotland","Serious",1,1,2022-09-23,"Friday",15:27:00,NA,"S12000029","S12000029","A",NA,"Dual carriageway",30,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","Pelican, puffin, toucan or similar non-junction pedestrian light crossing","Daylight","Fine no high winds","Dry","None","None","Urban","Yes","Data missing or out of range","-1",2022-09-23 15:27:00
"2022991222645",2022,"991222645",270501,649853,-4.063413,55.72473,"Police Scotland","Slight",3,4,2022-09-24,"Saturday",12:20:00,NA,"S12000029","S12000029","A",NA,"Single carriageway",60,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","Roadworks","Previous accident","Rural","Yes","Data missing or out of range","-1",2022-09-24 12:20:00
